day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,21.640356934917556,4.597937854710791,9.913785200530713,29.269457909758373,54.272842904229634,271.7184119415512,265.92402308245386,270.6993398756142,273.5336778898725,274.5636764468239,36.21497979805843,2.3234146341463418,4.909756097560976,48.385365853658534,150.35999999999984,1.0835996674584079,-1.1980951021673094,-0.06856507729561984,2.0186900275794204,4.101376950614386,32.58461530540041,6.2180047836261645,14.697959212570975,42.54417713490529,74.5761043000582,273.4473604508435,267.8338303833464,272.3261421476704,275.2933560300723,276.2613889188707,28.636591658687095,0.3166666666666667,1.2,37.09166666666667,136.9283333333332,1.7222867112098352,-0.9126524964421621,0.365086113852167,2.84867741020863,5.158304384108627,10.735583214590632,1.2738687237348334,3.4615560296802803,14.49944243832283,27.8561989582931,270.8647940557851,265.2412722781717,269.9152680101881,272.59410475464585,273.75447580390494,35.5817671466927,3.4529411764705875,6.8,44.71176470588235,141.84117647058807,0.5962093981701083,-1.534690971185183,-0.4690819995978915,1.4360967224345318,3.4850537985048504
2,22.239446807759958,4.785382401591398,10.146098629422628,30.199188470629668,55.686484420226705,271.55674281042116,265.7365921821074,270.55837816336617,273.3724239821555,274.3888743118375,36.88078441141896,2.3941463414634145,5.05609756097561,49.36585365853659,153.04926829268277,1.1089631701990825,-1.1454496067173714,-0.04392887161285526,2.04951315703356,4.0976114945171975,29.45984661552977,6.579663946801888,15.001717272370227,43.419277787267646,73.76038769628705,272.3661602118696,266.52545210986705,271.36200811898414,274.190114996223,275.11154401882976,38.12585626948857,1.192307692307692,3.1769230769230767,54.16923076923077,164.6461538461537,1.4138966722133957,-0.9399180700626265,0.21334663768640427,2.424961489686676,4.4413566819940895,11.513776080820294,1.289414628049755,3.6617834278552768,16.02695882486031,34.934169661296835,270.515648492043,264.7979201727868,269.5652803945811,272.2779125564971,273.44496330804594,30.334073837642304,1.4866666666666668,3.713333333333334,36.833333333333336,132.79999999999984,0.5285998771071414,-1.5411271139965284,-0.5274569555566535,1.3609911201764442,3.364648140922484
3,22.42554186864382,4.953224673190002,10.298384160697294,30.528209450244624,55.79229378864419,271.4504397293483,265.5823483307998,270.4730259623664,273.27161070752027,274.26205009697213,37.596446949467904,2.4273170731707316,5.170731707317073,50.4780487804878,155.87170731707303,1.1745636030637476,-1.0900781739056684,0.009409655194394335,2.1425402535922418,4.148971562560425,31.373818659342078,5.561978610293508,12.126623232556685,42.06539013285651,75.52307051620639,272.0439092330895,265.9034692663919,271.04292750089405,273.9562517664768,274.8473347941675,40.307775295244184,1.0599999999999998,3.19,59.41000000000001,169.7499999999999,1.208578255608188,-1.0445758739988118,0.05099676299150713,2.2005248825621635,4.065573629130026,12.93177385211094,1.0716190107642036,2.8204029280873586,16.522303395203853,34.07661532295649,271.7336187534513,265.9389968424363,270.7673514346792,273.5214478986643,274.58450360677386,36.32911323482473,3.162352941176471,6.358823529411764,44.9470588235294,149.33882352941163,1.0251102691298986,-1.3279866308979695,-0.19188098392683872,2.026818259860889,4.171197625129974
4,23.74866019969173,5.40224871148906,11.199188095933648,32.279461475366276,57.5480364230946,271.3473992003596,265.42685402645907,270.38170994629934,273.17508004292284,274.1427667485556,38.35795271422232,2.4653658536585366,5.295121951219512,51.636585365853655,158.8873170731706,1.2299453434622383,-1.0224495110116574,0.07777715146533783,2.193855128329036,4.158996540691998,34.41932729306667,5.527522126863875,13.253243292423393,49.12891891538109,80.69519416247492,272.219895315251,265.7210820334317,271.20676863992315,274.24720309164013,275.09214743908547,48.03471113948293,3.245,7.499999999999999,73.8,180.95499999999993,1.4775953363720578,-0.7921861979772016,0.33013685079729127,2.4880415366434363,4.296419497268053,12.437724396187987,0.9036929649925824,3.8214428310260393,17.863913422060367,34.11231969127223,271.0386503318576,265.60273577861,270.1049664227477,272.7384538850692,273.8760331779107,34.96132254369989,3.512941176470588,7.305882352941176,40.52941176470589,143.25411764705865,0.9672354337078888,-1.2567610911525129,-0.19011300089633126,1.8966654770293692,3.9995023893331343
5,25.568792108437236,6.1115557356983805,12.348732626769499,34.77115040538524,60.98905759748051,271.3079434235354,265.3208710301116,270.3365106276178,273.1521184368878,274.1109036707763,39.16148863786754,2.4902439024390244,5.441463414634146,52.84390243902439,162.00878048780473,1.3169464246132512,-0.9446105422092593,0.15641880403481787,2.2876899100263843,4.26284802252333,35.59470538338038,7.637877665772464,22.22870410864524,51.94455892373769,87.7784660693802,271.0331795563014,264.2152115832077,270.0490451508038,273.115359981214,273.92535117817096,51.258453026917756,4.326666666666667,9.6,81.66666666666667,175.77999999999997,1.3363767973120007,-0.8363044100494523,0.23254170660824955,2.2784433616871658,4.051848570666738,11.957991225211076,0.9899585776521582,3.838299690108285,16.07683516846923,34.14519260786558,271.0753815853387,265.39554808044545,270.1166554140427,272.84491681069386,273.90883336979175,36.564437393214554,3.522352941176471,7.494117647058824,42.982352941176465,148.87411764705868,1.0283506886473164,-1.1933284695470414,-0.13170819507189727,1.9773429506214886,4.001229312444315
6,26.381837311461844,6.287544363875032,12.798103647520833,35.85690634965244,62.642586619768146,271.30510323502835,265.3318608591475,270.3286813162723,273.1563206116442,274.1232713101545,39.98030641557612,2.527804878048781,5.624390243902439,54.017073170731706,165.1624390243901,1.334202710944837,-0.9110319062899758,0.18197663143184414,2.2927622843263724,4.275192917925253,34.52764981003128,7.198839797063533,21.630996317597187,48.53466645230444,81.93758603921374,271.1343368993703,264.651566507934,270.1419180217594,273.13964665978864,274.00005744888136,60.963740823491854,6.4142857142857155,13.4,89.02857142857144,211.47428571428563,1.410049924657227,-0.8223856012846623,0.2859410905486518,2.3757111127139416,4.150148031270559,11.578555247429968,1.300499579783937,4.026897977147195,15.471612585658319,28.713028169591702,270.474780651924,264.5609425085109,269.4827407189776,272.3178837648073,273.4320590102378,34.472291169899165,1.5811764705882358,4.0,41.97647058823529,154.55882352941157,0.7761601844195012,-1.3962924318283692,-0.3543402744122919,1.6878522799976325,3.717204141767592
7,26.277602493102695,6.171221649414686,12.62407513363501,35.839703432819164,62.494786070455085,271.3088579900669,265.371718224575,270.3249946316519,273.1641009268965,274.1486884376694,40.75755334636015,2.544878048780488,5.770731707317073,55.075609756097556,168.29317073170716,1.3481766093543304,-0.8788912437418097,0.20136628656243227,2.3021673566668306,4.271773006688797,31.72417176871197,6.952417809109247,16.827588192186575,44.354993370402795,77.91940580475541,272.08283780417213,265.99221970124097,271.07157881339015,274.0137838664099,274.89631407159396,54.18482604532397,4.48,10.0,77.85999999999999,200.41399999999987,1.5655777994974542,-0.7423126454066294,0.3862802945432726,2.578271523418335,4.467215823384989,12.26931318512931,2.173858333043693,4.616575764136722,16.914773907404307,37.635551133064595,270.4340314502325,264.6312778038331,269.4452622828927,272.2606821370299,273.3588964945565,34.321284711139484,2.3390000000000004,5.204999999999999,41.28,149.52999999999983,0.9416063907540394,-1.2278661105889914,-0.18815927143477162,1.8624524406419631,3.8512492326635424
8,26.581559361726665,6.125872473118989,12.669912356952299,36.2927222912689,63.170862220043844,271.321288057815,265.406363840522,270.33634349267624,273.1727948683839,274.16026533731576,41.52019104263817,2.5546341463414635,5.904878048780487,56.109756097560975,171.43707317073157,1.3706342483469593,-0.8550036020455738,0.22422369077965815,2.3241000759792296,4.29083581085595,34.33614708636965,6.327585243674706,15.250216001053008,49.54740076373012,85.06017994318344,272.36292446499385,266.25436320076386,271.4118836698724,274.2629140267144,275.1302491132248,61.4265041493776,5.3125,11.9875,89.375,223.55749999999983,1.305719847211397,-0.8826343786352455,0.16588489508301246,2.2288217304573537,4.216506294591269,9.559185684777436,1.6890920646493235,3.2571737390105535,13.08584922700089,32.548917888699634,270.3292832598524,264.44320834571187,269.3226489129008,272.2003491616835,273.27829343137097,37.62640098490721,2.341904761904762,5.509523809523809,46.71904761904762,161.81999999999982,0.9805019769598458,-1.2123201276709632,-0.14428193398995795,1.924012121700043,3.8264141670941414
9,26.580735804031548,6.149824318069881,12.733744792687434,36.306431240195444,62.95833327942515,271.3389430134525,265.478225562615,270.3482682588057,273.1828825242228,274.1898965095161,42.30385666352674,2.5756097560975615,6.090243902439024,57.117073170731715,174.56731707317059,1.3890870901143793,-0.8290448339116084,0.2462014156364548,2.3327100670511536,4.319045214346407,34.385221999972124,6.53336022543362,16.289800747430228,51.589381539310935,85.30094721237148,273.38985929245007,267.6776183577728,272.3303446943124,275.2325476257415,276.20711931115324,32.65468666879456,1.25,3.383333333333333,43.9,138.81333333333316,1.8465810831530074,-0.562668083384292,0.5851483822001944,2.835955791956368,5.208220911176542,9.448787602701001,1.3170196471253273,3.0832140673250565,12.711151379576433,32.550447429282166,269.9657706738657,263.958233218379,268.9476831126078,271.86503633340845,272.96175313647694,38.81485636769868,2.624000000000001,6.015000000000001,47.57,166.1699999999998,1.0419957992302358,-1.1686946087178447,-0.08493729347878713,1.9842721601711553,3.893152416106486
10,26.139048901928195,6.080089939170156,12.509888671680049,35.72239204104567,61.9447279840749,271.14534496821364,265.28238038835406,270.1471040373659,272.99902358776933,274.0238815557343,43.10036433559356,2.6146341463414635,6.2682926829268295,58.136585365853655,177.66292682926812,1.400823586258863,-0.7996884717246651,0.26342560217854255,2.340464543487335,4.315680190061639,32.1100612498976,6.342752423650426,15.318278469800301,45.82538887193738,78.79907308107697,272.29121184919023,266.4582633955195,271.2493302209183,274.1479056308846,275.0729618026979,33.62322853495052,1.075,2.425,46.925000000000004,146.78249999999983,1.4421798405964044,-0.6579737909906959,0.38712920854814253,2.2871109124261118,4.258302726466532,11.12582956449312,1.0792287285190063,3.600646888744097,14.62728031252912,32.66595323685658,270.1212831484107,264.13042029455164,269.068509557145,272.0409904051309,273.1407855914914,38.472215129269074,2.526666666666667,5.716666666666667,45.62222222222222,169.28777777777756,1.1386673148060382,-1.114495654137081,-0.014849999897186132,2.1104074208135777,4.042566396967641
