day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,20.851853876709484,12.32717965998274,15.4492663457667,25.049165955441513,32.68915874622429,269.596844251693,265.3397365511981,267.56447419460727,271.65873546539,273.33475966190207,80.69956958393114,6.217073170731707,22.48658536585366,131.16707317073173,195.95487804878047,3.0010833205087444,0.419266301256434,1.6829063427423885,4.094377880210513,6.249733847361453,24.79674085646633,15.843802375769602,18.571677432625112,29.122869658843143,40.374496738705716,270.3829957179595,266.2055438143981,268.41580561362395,272.3915098970939,274.0837135552872,77.99291101055806,3.2576923076923068,14.96923076923077,129.34999999999997,204.34999999999997,2.700208923702696,0.19325891052584973,1.4081909803780694,3.7648574493146807,5.91049878155153,2.644374309073671,0.9442317454498304,1.3518136461578487,3.412613584450639,6.59605509788202,269.4377632761769,265.0729528469497,267.3490472199715,271.5554355515635,273.28834356276457,75.94738562091501,5.601666666666668,19.634999999999998,125.5416666666667,188.07666666666665,3.1103613915125794,0.48961164779097294,1.7773649511454728,4.21467256897218,6.424678101631938
2,20.77097250083654,12.025533100573162,15.162667034155586,25.091861498043155,33.08447606461638,269.40644136220277,265.1352097796198,267.3740507538399,271.4840861151705,273.14310863948316,81.68555714968915,6.31951219512195,22.950000000000003,132.6548780487805,198.10243902439024,3.0387792598943864,0.50704918276027,1.7408288401030871,4.118175791016994,6.249111476452327,30.40641488388715,15.945004431527384,20.648101918170884,37.75464219479082,47.85508756997296,270.4539983970863,266.3360634337265,268.51359247605444,272.43806355532257,274.1228682386031,83.92426470588235,2.46875,13.21875,140.3625,217.78124999999997,2.344399148318929,0.05491595481594977,1.1572788603954387,3.36313979206035,5.249266901855636,5.011419781307713,1.5289768977178082,2.6679785113214995,5.626071065095226,8.43055060032398,269.09895087391135,264.699963366087,267.00385797418244,271.24751056651996,272.9508149019586,72.77471264367816,5.694827586206896,20.525862068965516,118.30344827586211,181.2775862068966,3.1903065371917463,0.6071329822635585,1.8776348794187459,4.278339760206506,6.447703257713659
3,19.15631009166528,10.884806250360063,13.80397562698133,23.25824178526903,31.017586624387725,269.2520057891393,264.95437309544667,267.20781468253784,271.357787795229,272.997509589501,82.67594452415113,6.409756097560976,23.426829268292682,134.1951219512195,200.17317073170733,2.947128174257636,0.4462913629214309,1.6730076017369766,4.014975737366494,6.105756058578652,24.58396102102731,13.349274669587489,17.54728394842723,29.037913931635135,41.50593131286415,269.8519662655662,265.7365146059537,267.9046833969326,271.87488306610874,273.43676878354665,84.4826797385621,2.7374999999999994,15.620833333333332,139.9625,211.8708333333333,2.207639689132856,-0.12197914676818648,0.9818347489256413,3.229590906696391,5.220417056930755,2.4375502262202833,0.3777256393448263,0.9794161450101607,3.4503907705925956,7.068244929448298,268.8220915914912,264.40871939539045,266.72868454040446,270.98978617687783,272.64292031365426,77.41915032679736,6.011666666666668,21.295000000000005,125.53666666666666,193.13166666666663,3.1071743253571267,0.5628682043105031,1.813489493662036,4.191405374175557,6.314406590767031
4,19.662498822423824,10.949033387312385,14.003779839395472,24.035823382486118,31.945669952509263,269.0636581446563,264.74758324654215,267.008328092531,271.1960216125099,272.81667466385875,83.81104734576758,6.509756097560975,23.942682926829267,136.00365853658536,202.47804878048782,2.9047090690813406,0.4428284133307827,1.6571693316501492,3.9515626376082453,6.0128675348175795,24.883910555184567,13.349484890278172,17.20192261092585,30.73119418308692,41.5125477891412,269.3310161232852,265.1212281832005,267.36644931632895,271.3950629835428,272.976784157611,94.08039215686276,10.80714285714286,28.449999999999996,149.8571428571429,219.79285714285714,2.6590573702118876,0.32766146742359964,1.4262680243985904,3.6838305185498155,5.718524894630866,3.5461986782146018,0.7403438933772423,1.4036033450342493,4.896245979174119,9.440660936504848,268.7981291159482,264.40842351541284,266.70795370354006,270.9657296217136,272.6034943279515,81.5245751633987,6.161666666666668,22.27,132.66500000000002,200.27333333333328,3.125568249049548,0.6013243137073607,1.8488333619367932,4.200394291029828,6.306043894979554
5,18.685976762136164,9.890279291026403,13.014644817031348,23.101146802136686,30.881834778139453,268.9437015606415,264.6000822228198,266.8786483706053,271.09450284492095,272.70554986676956,84.89933046389288,6.570731707317073,24.424390243902437,137.74268292682927,204.69268292682926,2.9801427142339,0.49972467424707967,1.727021475830469,4.0363433461370155,6.09833767991265,24.87988804732152,13.349141109717516,18.15752151948765,30.725988156025654,41.49857858209594,268.7641894402663,264.4672224675229,266.791293141779,270.88390995670414,272.4116140145474,89.83152337858222,5.561538461538461,21.707692307692305,146.88846153846154,220.3692307692308,2.6043127459575213,0.24188463797368695,1.3782059657029957,3.609321028780541,5.618135398181565,3.568264012104973,0.8659893869208641,1.6881059970243382,4.9103977854553635,9.41579113316694,268.68288122671294,264.25604655122095,266.5765333564553,270.87658803470737,272.51011886390285,82.03594771241832,6.206666666666667,22.406666666666663,133.55833333333334,201.42833333333334,3.24112268090971,0.6896694917546976,1.9521092139786789,4.330349787395712,6.4474999988230515
6,20.982913549538463,11.48521457074519,14.932590468459674,25.733189418750605,33.79045462705609,268.95697036860827,264.6227490951732,266.89215291574953,271.11059393347193,272.71094894905224,86.06614060258251,6.64390243902439,24.890243902439025,139.68658536585366,207.11219512195123,3.0318526423161853,0.5863692326257305,1.8024298970537884,4.070590019643288,6.086554317872439,31.075021607337316,16.891476609992846,21.124480596631876,38.18312300364526,53.86671438318265,269.4359334826603,265.2177785564518,267.45327266603834,271.5653908083726,273.0592356385733,71.4109243697479,2.2142857142857144,12.171428571428574,120.10000000000001,188.17857142857142,1.6649053769202862,-0.6226050418181558,0.5007873394193325,2.608709890788196,4.548629881207125,3.5750579553468054,0.8735975426105346,1.922245092434341,4.721184887298729,9.49227464931244,268.6050522642971,264.15870025975505,266.4859771306769,270.80869615011795,272.4483497199776,75.72805949966195,5.705172413793103,23.51034482758621,120.8793103448276,183.20517241379312,3.4344033197400075,0.8875227971367758,2.1562318696406964,4.511979279661658,6.621731292510649
7,21.87209987826578,12.247553618435672,15.812397281387645,26.60759344823439,34.88976528133118,268.996041503619,264.6712900195015,266.9290585338667,271.1480455418333,272.7445256120133,87.21047345767576,6.690243902439025,25.26829268292683,141.69268292682926,209.61829268292684,2.9829571573455778,0.533775252553637,1.741320001407317,4.023283064491784,6.04309411485589,23.475823569088742,13.123602328809309,17.77196585713236,28.471586801382497,39.24786339051667,269.56785708331023,265.52834870426506,267.6443985912703,271.57248661300315,273.03275164470915,82.89397759103642,10.200000000000001,27.375000000000007,131.99642857142854,190.63571428571427,1.7610299947015997,-0.395894063225006,0.6402125825515175,2.671981848358899,4.525720851654332,4.360013158345877,1.3743230367967838,2.0612362566371125,5.9153467938945905,9.030471640689761,268.5274583541163,264.0818726683261,266.4135198739437,270.73861757032444,272.3501255763872,79.16008855154965,5.6483870967741945,24.559677419354845,126.47419354838708,193.63387096774198,3.1877791272235867,0.6973237394031198,1.9332406541237679,4.238569000016535,6.276092325385209
8,22.07424916800757,12.34872463297556,16.005640514064453,26.82328960407466,35.16243485498275,269.0624049873048,264.7441436372334,266.9893786532455,271.2175596636164,272.80077875664745,88.30750836920134,6.740243902439025,25.541463414634148,143.6951219512195,212.14999999999998,2.9875103813650137,0.5189003383024594,1.743252574903187,4.031401915068728,6.053433198285773,23.47570280867533,12.991560737949463,17.540230158622236,28.471358435475526,39.247640976219344,269.44320527211073,265.3941754914283,267.5092029271786,271.4792186021448,272.9290933138855,84.73182503770741,10.634615384615387,26.049999999999997,135.58076923076922,193.84615384615384,1.6629035764015048,-0.5357055087402838,0.5245027370894297,2.603332498457867,4.448721417243567,3.9925669033437288,0.8779684999620263,2.0796806391454514,5.229516967705715,9.094027482564744,268.53941081718324,264.0830021385905,266.412104914208,270.7673183788849,272.3672885238078,79.62966476913346,5.701612903225809,24.65,127.30645161290322,194.79032258064512,3.1691214092454696,0.6819989771305878,1.9257072406217561,4.2137178531357256,6.228958221775472
9,22.901894867744804,12.856035906831227,16.620025591194583,27.84640507903101,36.29539330212352,269.1361978873854,264.8216155101789,267.0597271160775,271.29530294280397,272.8770199350243,89.35738880918221,6.75,25.75,145.65731707317073,214.69878048780487,2.999186211981081,0.5027071845642072,1.7477457800618958,4.054440513819679,6.089360526855375,23.545023313403803,13.596734084390661,16.971953459848848,28.464736627967756,39.23500841448049,269.9093716388804,265.9006524561835,267.96797486955927,271.9252099162442,273.39967157426975,87.31022408963587,10.096428571428573,26.175000000000004,140.3607142857143,201.20000000000002,1.7029265281681487,-0.5430579815671215,0.5430218423340429,2.6604157175790095,4.531749332252273,5.014249997475257,1.5296008088922206,3.078446289743954,6.232441887681673,9.859549634964573,268.5847577996251,264.11487333762085,266.44897174999863,270.82657324661574,272.42894296816894,80.09184060721063,5.741935483870968,24.71612903225807,128.1241935483871,195.95161290322582,3.1959582922964977,0.6847720690223977,1.951354451432911,4.247024344213455,6.2592719379895545
10,22.818355008457655,12.927651856716457,16.680500106194636,27.633248562797252,36.13031455723816,269.0513337369534,264.7117663204982,266.96343805801695,271.2257682342838,272.790412237101,90.42797704447634,6.815853658536585,25.992682926829268,147.59146341463415,217.24024390243903,2.930916638619256,0.43895485034593823,1.678202738958002,3.9917312613543636,6.008045538229335,26.696443347528575,15.630606282613762,19.591216783627942,32.37400059529454,44.19516412500394,269.28201437542407,265.16737374580873,267.2878408206563,271.37154900315835,272.8151345172407,68.58217468805704,2.527272727272728,13.559090909090907,111.91363636363636,170.92727272727274,1.8963413588823848,-0.3837774141830817,0.7407642719391386,2.8885511563350375,4.678334850224217,4.267310484215741,1.3900330880450515,2.322928473348507,5.5167017473219255,9.568253109000754,268.2119890507222,263.6442950633905,266.0444492973146,270.5058348487686,272.09408318185143,84.37205882352943,6.3517857142857155,26.574999999999996,134.76250000000002,205.68928571428572,3.25614691504386,0.7223301387314981,1.9939073907132836,4.317590731473729,6.3495880755377305
