day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,14.808139221688315,3.3207461464637578,6.109626299282766,17.585888300827072,45.095435090484756,273.25368785318796,266.0358453668738,271.5046807822439,275.6594033635951,276.9072436168093,32.106374922955006,0.36219512195121956,2.0060975609756095,26.68048780487805,174.0878048780488,2.0448296341077867,-1.109263492665219,0.3000519591385752,3.235956546056562,7.116776425095826,21.947003263809417,4.326750870453995,9.290178711385519,28.111301387609355,63.35121757729258,272.8696036902324,265.694799412752,271.1356424325716,275.2575021411726,276.35165069587765,39.08255114320096,0.16363636363636364,0.9772727272727273,41.72727272727273,203.5636363636364,1.5739000823294382,-1.2073982281450746,0.10796344371653856,2.5917553481555453,5.753443640164868,3.7464289558021378,0.005775303960864191,0.11019935615988871,3.5414748741140465,18.737114057996973,273.4924674780598,266.22440013551494,271.7470940324921,275.9118625974234,277.24210745937796,27.860086642599278,0.166,1.742,19.956000000000003,157.91199999999998,2.34629865705661,-1.032390499468847,0.4156156665070154,3.6554495680528305,7.998997504538827
2,15.18821518058338,3.4258839726188555,6.226022698802846,17.93295687271944,46.5778017917564,273.12677515193,265.8369807566979,271.3671746613176,275.54733458224723,276.78939959757605,32.39948636670482,0.33780487804878045,1.9451219512195121,26.891463414634146,176.05365853658537,2.055768651201057,-1.0704117504426527,0.34761509914746147,3.240426645915263,6.9892314646980385,22.449242907368262,4.326764385240279,9.2901797442504,26.481344400304767,66.30605726631498,273.00945559514315,265.8313463473813,271.2901967082961,275.3919672090718,276.49734591483843,38.220966398222714,0.17692307692307693,0.7730769230769231,41.25384615384616,200.74615384615387,1.6943978196349208,-1.1726044516398957,0.19409839709034488,2.737781688137386,6.019200170898457,3.7837287639818253,0.0164779549046417,0.15281922686674482,3.8416013326993483,15.807280716746638,273.42939714304765,266.10591821378097,271.68287943730815,275.8502131529772,277.1926772558308,25.27493481748897,0.11458333333333333,1.6291666666666667,13.925000000000002,149.96458333333334,2.3714291693539087,-0.9671652774198095,0.4854210409306694,3.667611805019147,7.871272180297222
3,14.65357221955327,3.2541932897873105,5.901945222205743,17.25400854413072,45.428216437006824,272.99830430446036,265.61159083979703,271.2161771599071,275.455187280723,276.6747373795192,32.72593407883537,0.33170731707317075,1.920731707317073,27.176829268292682,178.03780487804877,2.0577868352834026,-1.072725599201817,0.36896996220423994,3.2419179763325117,6.914998041410972,21.0755717455241,3.4753785571004645,6.567861704479672,25.711241804474692,64.28521678479758,273.1275460114748,265.9595167445682,271.4489381013212,275.51084765386065,276.6300865082213,41.18494283995187,0.0875,1.03125,43.3375,216.125,1.606734285212316,-1.19590985797151,0.09210740219696971,2.651473286974668,5.928339777807824,3.9511236230354294,0.017476761634652234,0.19921166231252355,3.956886599620163,15.05643925535503,273.16886542213757,265.72886679575674,271.3823420747502,275.63356373904685,276.9248934564295,26.752738779694255,0.07777777777777778,1.385185185185185,16.314814814814813,157.32777777777778,2.2748396310337546,-1.0150497328631405,0.4764180676019073,3.528774466209544,7.51221634719026
4,14.885464683753005,3.1088440186618373,5.808016410508106,17.432820582498096,47.20925108767438,272.86833128244314,265.3940081067668,271.05435369091583,275.3599043141424,276.5700831060403,33.11390331953861,0.32682926829268294,1.9182926829268294,27.541463414634148,180.18170731707318,2.086837466079058,-1.0537826192329507,0.378235746746476,3.2959792222984396,6.971088098909334,18.02621122029106,3.2579905371229114,6.016151489455637,23.07893378776314,59.69533040133762,272.5722970946206,265.0061927748194,270.67491053776973,275.13529745086487,276.2217766658358,31.97105227971654,0.1,0.7888888888888891,26.01111111111111,181.16666666666666,1.8895723100351889,-1.0960794193253736,0.34439842355007017,2.9810482949183577,6.374359693475898,4.226321369193568,0.017836709149152544,0.19921166231252355,3.9467746759446976,19.061794848967118,272.95815857398327,265.437058239944,271.1518987370442,275.45322083590463,276.7304657562653,28.88911380436651,0.04642857142857143,1.2803571428571423,20.905357142857145,165.29999999999998,2.2147931891386734,-1.0373313377237694,0.4353203805908427,3.4719617788798125,7.335786378231517
5,13.468322561876803,2.6755012081086726,4.952810985195706,15.541550271890625,44.60031306969011,272.7796325964647,265.2023825927364,270.9290996025008,275.31122883740557,276.5255697207723,33.46397229315254,0.3182926829268293,1.8719512195121952,27.834146341463416,182.23658536585364,2.1761063498058957,-0.9948254820535224,0.43154798319226423,3.4092360102924957,7.1319411732665365,18.44347846324098,3.4312794028853864,5.707688095874014,23.71376768589365,57.62026481816286,272.58051298346265,264.9614043667942,270.60452260440564,275.1869188610344,276.3723387654252,31.02572536435353,0.022222222222222223,0.37777777777777777,25.594444444444445,174.82777777777778,2.0208846465715977,-1.1348337102814385,0.3891148214670242,3.184445577693696,6.678403411312441,3.226013550501467,0.006366863711028126,0.15044170262317688,2.8453219771879685,13.434269115997763,272.6660617726658,264.8953785159478,270.7534828435308,275.2708139810381,276.5429348446475,30.570973010142687,0.026785714285714284,1.1303571428571428,24.807142857142857,169.9857142857143,2.394862664775439,-0.9136047977004784,0.5621247816089989,3.690979492351223,7.619801050055775
6,14.90287849668321,3.1361082043095894,5.736212008663876,17.337976201260442,48.04129500643352,272.78061064285237,265.2230857253522,270.94130638934735,275.30548726254517,276.52965055434146,33.84878048780487,0.325609756097561,1.8634146341463416,28.164634146341463,184.34634146341463,2.219389014259336,-0.928456983398302,0.4741307370408573,3.447737799561018,7.187934639181158,25.269386437704192,3.901995173151741,6.853312325719587,27.81746850576689,75.77660463115318,273.8220173026946,267.0074622007334,272.2083465585837,276.0771830186276,277.20523164080896,28.531829121540312,0.06666666666666667,0.5833333333333334,14.800000000000002,177.91666666666666,1.9668165309412793,-0.9925441139285481,0.30880639381429975,3.1327986626257225,6.630456147270479,2.1818701721266334,0.004542847077309667,0.051298294201264735,2.12030739924778,13.022790014297026,272.55482307591217,264.76224837420284,270.63868654926944,275.1696692396448,276.45479873548504,30.844925792218213,0.03518518518518518,1.0537037037037038,25.938888888888894,170.97407407407405,2.369403166936122,-0.871964876385784,0.566193298566326,3.645823043945025,7.492393231416282
7,16.25074691166499,3.487374949134341,6.518832882223547,19.24414926755759,50.28535409413521,272.8026225550508,265.2445598648744,270.9700428255901,275.32128341886056,276.5622125153285,34.260118575915,0.3475609756097561,1.874390243902439,28.48170731707317,186.49146341463413,2.207386199041972,-0.9027576167365433,0.47528055947794967,3.42333972170875,7.168570392967939,25.527729721091337,3.901995173151741,10.58323842963569,33.36415758140632,76.14133415932457,273.65884152722543,266.46878345580774,271.88727793279514,276.0674246848231,277.17070656710086,28.662867457452297,0.08571428571428572,0.45714285714285713,15.814285714285715,175.65714285714284,1.8393775498119835,-1.0951239491093554,0.21005529970476702,3.028400982162581,6.381331363122029,1.9851141543399817,0.001326184052122219,0.017079748646055548,0.7386015297248751,9.805552463697797,272.520357391545,264.6493715622973,270.586502680598,275.15468918947914,276.4475389311912,29.42784115523466,0.008,0.8700000000000001,21.21399999999999,169.82800000000003,2.4468104798539234,-0.7999735299713275,0.6251160148210978,3.728904121390551,7.657377093019162
8,18.178369093404232,4.20211791883067,7.9137820538265355,21.668716806008668,53.28444199863499,272.84799056159915,265.2678661503387,271.01470168864245,275.36765490853725,276.61850686530437,34.69991194857797,0.3597560975609756,1.8829268292682928,28.78170731707317,188.7439024390244,2.2066620148964864,-0.8760404393826501,0.48299961728876445,3.409127712649061,7.149798546092558,27.54875614348213,7.347541809857533,11.995747247889408,33.47324569726481,78.10773385335989,273.99398381594557,267.04008206401585,272.3230947488094,276.29681691131543,277.53080665923966,22.85788206979543,0.1285714285714286,0.5857142857142857,11.014285714285716,143.7,1.9280791359706828,-1.0316157392535388,0.27101002642784705,3.1113965800274954,6.610544573666324,2.3840463863672907,0.004547957420279291,0.05361928323234046,0.9599429164438293,12.901467268897171,272.54472186162997,264.61776168616865,270.62964072518696,275.17916808312646,276.48672594007536,29.059000200561574,0.0,0.7187500000000001,19.977083333333333,170.39374999999995,2.4686431806865845,-0.7515210917298917,0.6405022256995211,3.7407566792841043,7.7228109712818105
9,18.61741718334967,4.394470485588347,8.2767475684039,22.45194864479602,52.963343802316025,272.8912539494694,265.2996801121533,271.04119675835074,275.4222870366047,276.6671223577065,35.11054269026445,0.3621951219512195,1.875609756097561,29.065853658536586,190.91341463414633,2.2383089826032236,-0.847700691535301,0.5221212952176937,3.440202757229916,7.157317679924178,25.087205859601852,4.802391962728617,10.565429609281919,30.729229966402958,80.47126449586756,274.07098168123366,267.4278704996816,272.47873362003844,276.276948256861,277.53784218628,32.4794825511432,0.275,3.28125,26.7875,169.84374999999997,2.0077633601558165,-0.9785264072443851,0.34615610817421366,3.188013536777359,6.798204743414515,2.38443097069812,0.0045478696568961976,0.0536191568507199,1.2316595684656069,13.155188640302132,272.5467738963832,264.5870269178411,270.61569164997485,275.1937642138728,276.49311594661214,28.991075010028073,0.0,0.5666666666666667,19.595833333333335,171.04999999999998,2.492186975658393,-0.7308146330551493,0.669659217285898,3.7683705966342167,7.7043632642803646
10,19.30491771351329,4.885028482624695,8.926180790895089,23.302905316267612,53.4471637089034,272.81941415473807,265.17313892000374,270.9586279193428,275.3711349870785,276.6102618336493,35.52635379061372,0.37317073170731707,1.8707317073170733,29.376829268292685,193.06341463414634,2.2455892319598374,-0.8488571069001289,0.53835706024922,3.4509855752319747,7.110815936255304,27.137875321470514,5.9541608778451796,9.978330945169073,32.630688387736505,80.01811178747663,273.38251901479,266.5696023085673,271.82589963286915,275.6218012558086,276.8804647028348,49.79634977938227,1.3,6.266666666666667,57.78333333333333,223.51666666666668,1.7437740049935544,-1.1159131585490554,0.18503998677214303,2.8226303940205177,6.297564716145357,2.2867152095694223,0.006109285043087576,0.06792784626151042,1.196245338079236,12.387895974224387,272.61840991640116,264.64911898938163,270.6935725869186,275.26385742184266,276.55433043544974,30.06160750100281,0.0,0.43749999999999994,21.027083333333334,176.27291666666667,2.442734733892113,-0.7682903932120112,0.6458545314402572,3.7183754044888175,7.551264456684751
