day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,13.570279033637615,4.672797269389463,8.003132512814732,17.086474359693426,28.40075684067497,268.59064246414295,263.52928798717755,266.4280403449964,271.09147032483554,273.5763637668108,65.07797988149375,1.7239024390243904,14.210975609756098,97.31585365853658,183.56170731707306,1.4849517472818494,-1.4804396733877458,-0.03003949645441527,2.808210038834685,5.1202207566555344,21.632560801239723,6.318999797193624,13.12094241602529,26.818075864162026,41.14601660731955,268.64509935933114,263.5814642909957,266.4831308251798,271.1591941577083,273.6435372595518,60.295511613308236,0.6888888888888888,9.638888888888891,91.92222222222222,175.91444444444429,1.4174579356893282,-1.2462529844218388,0.05024314642573594,2.6127554397305297,4.727817542402177,3.555595513850907,0.044958845265323635,0.556669744942554,4.388321516558054,9.902977648102567,268.4461873467931,263.31160942157766,266.22800287674767,271.009388424923,273.52047545066654,63.245782889426984,1.6076785714285715,14.858035714285714,93.47946428571431,177.2176785714285,1.5327274625563103,-1.5821074543579687,-0.06025799661527737,2.9284606269263014,5.324196812867676
2,13.308606735948171,4.4314620095424,7.6948288452901545,16.811341331161536,28.41751271932012,268.4453499071692,263.34934155700347,266.2593688377122,270.98491576742066,273.47858526936636,65.82769050571862,1.73609756097561,14.449390243902437,98.38597560975609,185.446219512195,1.5124633401233814,-1.4191010422318968,0.026724235932465642,2.8198132227358492,5.057849465263023,17.567966508250585,6.319041082641193,11.90071546019464,22.749553956354582,43.53527731805491,268.303939495822,263.1210361386388,266.11469818440196,270.86288658445204,273.4148884325177,60.38335901386749,0.8,10.16590909090909,92.41136363636363,179.5163636363635,1.5947810922326768,-1.102493985398215,0.22376522233430188,2.806755282087108,4.84528459790704,3.610823877681613,0.0532680185214939,0.5724894911523158,4.774188383801175,10.677056244766478,268.0932022872278,262.91602288288635,265.8477693758622,270.6945857111579,273.2428958247446,63.244269572235694,1.6482142857142856,15.25089285714286,93.24374999999999,176.5582142857142,1.4383097592335516,-1.5546329386820692,-0.07714315896650516,2.7730195670223807,5.0444709454124705
3,12.440284490628772,3.9560120910755794,6.988843380587374,15.783451675695424,27.296716781576784,268.3026975732254,263.14710420410233,266.0824942505615,270.89634296686967,273.403634115568,66.57465894997934,1.7100000000000004,14.716463414634147,99.44390243902438,187.286219512195,1.495084081684464,-1.3944785562346607,0.033799913734072234,2.7848596056128914,4.971805493349963,15.370121402393446,3.921697028704526,8.04796013806618,19.816943897321153,36.58793773290508,268.29899770190127,263.06037539629517,266.0776861464309,270.9338892970957,273.43426577152485,57.91284369114878,0.8509999999999999,10.094999999999999,86.07333333333332,179.8253333333332,1.625929199236423,-1.2149453937932813,0.17781756135893226,2.9068638861357017,5.096041411851831,3.9790461859126003,0.0532680185214939,0.7230157918904225,4.892323272569303,12.84858549820642,267.9313454280865,262.6945547626952,265.6493302339533,270.58485367107875,273.1481523672807,64.08305995990524,1.6370967741935487,14.878225806451612,95.0241935483871,180.72532258064507,1.5654944168015752,-1.398443515317097,0.06840007440428408,2.8884266264328993,5.109696066829366
4,12.41982498296488,3.7260357486164546,6.75646043473405,15.889856544660045,27.763631937407286,268.13021454442514,262.93356133784795,265.88186304261654,270.75894716772615,273.29442143278715,67.3982499655505,1.661951219512195,14.995121951219511,100.60426829268292,189.29280487804868,1.5024656336126698,-1.3767900325779552,0.04435807486045057,2.7861674573943334,4.9730749694737435,14.588379022018865,4.214556323445564,7.4269274105333345,19.27952167593761,37.683373067529814,267.94384706746945,262.70773469950933,265.7297333493116,270.5732928401142,273.0924577311491,58.720508474576285,0.8330000000000001,11.115000000000002,87.58333333333334,173.49199999999988,1.8125838230583526,-1.031079572525186,0.3635405259370977,3.0798247150748725,5.291419376251271,3.8137211877994566,0.10740815682458266,0.5725674803239472,4.839027984294727,12.183280977443204,267.91606780466407,262.6347202127781,265.6165340545344,270.6058004663853,273.1690887563206,65.34449152542373,1.4964062500000002,14.702343749999999,97.35703125000002,185.30578124999988,1.5743928947732704,-1.38827162279252,0.07896664660210757,2.8931747521998084,5.124068247390353
5,11.538216926426184,3.0284423746464255,5.725835561345546,15.01155683466892,27.110960182855756,268.01970067380205,262.7944390882643,265.7641334911302,270.6725971134198,273.22135286763,68.19654127049745,1.6090243902439023,15.254268292682926,101.73963414634146,191.28597560975598,1.567391832063763,-1.3097320079204262,0.10390499251421492,2.8520765150377883,5.043477041053344,13.984553470480389,4.0239916684268255,6.951725733512395,19.60088130558063,43.693319457315944,267.6018050481328,262.3092032175435,265.38269047788623,270.25225972013635,272.7432713671678,69.25554882970137,1.7771428571428576,18.528571428571432,100.3,194.89357142857128,1.8058174342275544,-0.9463478688232543,0.3953512348375566,3.0188644064461796,5.2299657861177025,4.620479370717231,0.08342697502023258,0.9486786209710638,6.249377992895902,13.555233639130142,267.6320095224979,262.3000863804861,265.3176560763837,270.35595400031525,272.9587805601453,64.66078002551487,1.3995161290322582,15.252419354838711,95.75161290322578,180.50419354838695,1.6797477166004184,-1.2815677938964527,0.18711904890191441,3.0037587510568513,5.206636562232002
6,11.793581676715627,3.011318281362933,5.800398876441926,15.390828111790409,27.820866994232453,268.0324359788716,262.8061062240016,265.7750321736081,270.6938936335064,273.2388178315397,69.0020187405264,1.5553658536585364,15.484756097560975,102.8920731707317,193.35097560975598,1.6003223706577536,-1.2532397346754771,0.1491560011874803,2.8736046613974207,5.063448577549916,18.984448044264983,3.4003344050865656,5.736559466366669,24.095787586109303,47.98067619855131,268.705758385715,263.5699525000651,266.497268070169,271.3136640479018,273.7289025975454,74.87454096045198,1.245,11.228124999999999,114.69375000000001,228.5412499999998,2.10013054851477,-0.8195156259161681,0.5677899548197897,3.4043318161743996,5.854084699856923,4.017831677592695,0.11542672036028506,0.7857623372917097,4.998692253011851,12.546500160258606,267.4870733107731,262.1309801021337,265.15523665149055,270.2305873574122,272.8721002285492,63.94395682001616,1.3578571428571427,15.846428571428572,94.28839285714288,176.78374999999988,1.5888736788598,-1.337204486409881,0.1218602698106309,2.8960922151223873,5.059272674262422
7,11.968397294825003,3.1679182017862684,5.97992552567244,15.545910641718129,28.07996998691986,268.09119906327396,262.86336761934797,265.8301037321391,270.75882134487006,273.2949400489563,69.76716962932342,1.4919512195121951,15.661585365853659,104.00914634146342,195.39487804878036,1.5937120502035098,-1.2429486435784516,0.14482140622326686,2.856225550838589,5.07082228726273,16.854710207952483,3.1862383105619325,6.720204496481246,24.009727121108657,43.798128091652565,268.6468950186573,263.5359520256165,266.4225376413682,271.2964947648216,273.6647075288447,74.71749058380416,1.7012500000000002,17.447916666666664,111.53333333333336,206.12666666666658,1.8007394778188284,-0.9998439191035339,0.34833587155500795,3.039807065835078,5.348798370802663,3.1944536313338645,0.08721230973532938,0.6062908834583861,4.7085077274003275,11.83726994855868,267.7768685145798,262.4414100106887,265.4408868341674,270.52010769707545,273.15433290700133,63.49691148775894,1.2184999999999997,14.81666666666667,94.00166666666665,179.48533333333322,1.598503398961543,-1.3199811976069893,0.11828596119586848,2.9020062424147417,5.127346974015364
8,11.545692568639447,2.7152037855511466,5.4270386276336335,15.205625345587908,27.950197372535595,268.13210941927366,262.89595516906377,265.8611427574428,270.8122784096705,273.3468394206368,70.47062835882598,1.3984146341463415,15.739024390243904,105.07865853658538,197.41780487804866,1.5944853105797725,-1.2283123358845751,0.13832133227213617,2.8515824394708136,5.107012347065296,12.373645531324343,2.921411279214873,6.226448214701532,15.989550590390365,32.539801690748526,268.7554550255218,263.46076245957727,266.44813002132025,271.493729760974,273.9356607979697,58.62080508474577,1.7427500000000005,15.02625,84.48749999999998,170.47849999999994,1.5475992607315352,-1.3182491940878258,0.06359951681993956,2.828210677141605,5.137301259384115,4.53532900978821,0.10137864952234905,0.7237691870119488,5.85847560072637,13.31472343040248,267.7701225050956,262.4202897880855,265.4373457793486,270.5173928556091,273.1470325656935,65.28560204802261,1.1173437500000003,15.30625,96.85625000000002,183.30140624999993,1.5220400366621982,-1.317955070740594,0.07118846698738696,2.791197993431223,4.989388828397717
9,11.958009530096689,2.893093664272636,5.738423256873949,15.724700454161033,28.552963971807728,268.2001013724257,262.9792281009863,265.93069318963984,270.8747376007283,273.40412184066145,71.15846079647238,1.3032926829268294,15.792073170731708,106.12987804878048,199.44036585365842,1.6144900278777918,-1.219795998228797,0.15009730906699695,2.872708604861729,5.163699842578051,13.544143805645485,3.3848724375584194,6.720395670087517,17.408370916021656,36.757976965066675,268.6849209772043,263.4288775222881,266.42258822670567,271.3950884557458,273.8048644580579,65.09290018832392,2.239333333333333,18.576666666666664,93.54666666666667,185.17966666666652,1.38632397410066,-1.3616647339203074,-0.029110112045598175,2.5974139153277664,4.85091345717181,4.589523637216997,0.09722487063545097,0.7472265423557437,5.880250087212559,13.661973509786742,267.8043876414664,262.49919200817743,265.4882568205446,270.51925127946726,273.14089021685623,65.5941771459814,1.1158064516129031,15.72096774193548,97.08306451612901,183.19016129032255,1.5529647315580528,-1.3069181699767696,0.0854180277302513,2.8297629762524052,5.073833520839768
10,11.703351244308356,2.733354195539457,5.5934236575810825,15.383690814530434,28.011827854196834,268.0672078406439,262.83751703444983,265.7979249241067,270.7421115404572,273.28760727927136,71.82790409260025,1.2341463414634146,15.860975609756096,107.13658536585366,201.40414634146333,1.6133065246859875,-1.2020582770800219,0.1609187793125092,2.858642798279037,5.148422178024231,13.213331109396947,2.3279946329570484,5.617375987091893,16.790581972409036,36.857870838739736,268.1717653804685,262.866868851331,265.8319233727337,270.9175122722777,273.44061327491903,65.13352661314302,2.135789473684211,18.118421052631582,93.21315789473685,183.7957894736841,1.6506859255765876,-1.2153550438499805,0.1614906999864624,2.9267554308672676,5.289455667288823,5.160340221048189,0.12893188751181223,1.3950400008183805,7.190125910365509,14.229862480924199,267.61189756869294,262.3032651646223,265.2986486821273,270.3260809606915,272.9634923419424,65.94800437397485,1.0750000000000002,15.719354838709682,97.58548387096774,184.31709677419346,1.5472504255130317,-1.2879575813145347,0.09529425857395127,2.807683955418336,5.05160412240349
