day_of_year,P,P5,P25,P75,P95,T,T5,T25,T75,T95,S,S5,S25,S75,S95,E,E5,E25,E75,E95,P_Q75,P5_Q75,P25_Q75,P75_Q75,P95_Q75,T_Q75,T5_Q75,T25_Q75,T75_Q75,T95_Q75,S_Q75,S5_Q75,S25_Q75,S75_Q75,S95_Q75,E_Q75,E5_Q75,E25_Q75,E75_Q75,E95_Q75,P_Q25,P5_Q25,P25_Q25,P75_Q25,P95_Q25,T_Q25,T5_Q25,T25_Q25,T75_Q25,T95_Q25,S_Q25,S5_Q25,S25_Q25,S75_Q25,S95_Q25,E_Q25,E5_Q25,E25_Q25,E75_Q25,E95_Q25
1,20.373922616945137,15.199302283883618,17.270130971903523,21.952333571021697,30.580549750767393,272.9693919001796,270.8401682442615,272.90310061535644,273.582163374727,273.99187621950364,18.188166214995483,6.2578048780487805,8.078048780487805,12.847560975609756,64.29097560975607,1.3463847811780982,0.1559816491286769,0.7958317856809942,1.78337550787758,2.8349123122474476,29.624574955322654,20.543145698132697,23.512570534270516,32.68479305894675,44.85965470633063,273.6563186224485,271.4303371845834,273.6018612084198,274.2811980748432,274.72558070337044,17.678787878787883,8.942727272727272,10.318181818181817,13.381818181818181,53.34909090909089,1.815298346595152,0.5681185058666,1.2841328535510348,2.2672167427217005,3.2669622077462734,3.9290316502975853,2.109278389495413,2.940700604363624,4.730825338365643,7.898026310302954,272.80952071032016,270.7650105971884,272.7054549496748,273.4185421105119,273.82584821703165,13.847020933977458,2.993913043478261,4.434782608695653,9.197826086956523,56.00608695652171,1.0631052783311845,-0.10394614852175316,0.48005470466961064,1.4972658119955309,2.6299300533035965
2,20.776753061483994,15.530693186316961,17.674422837093196,22.367379829450066,30.96550734483466,272.86109711879027,270.73532681008913,272.7963801390606,273.47139682365327,273.8792736165176,18.52971996386631,6.437804878048782,8.257317073170732,13.053658536585367,65.45073170731705,1.3791338871825518,0.1829543461033328,0.8263107106324947,1.8183534153417438,2.8818934378818803,26.86202210306701,20.06780122299561,21.776401208697685,29.545587941972652,44.11953173806892,272.61272498271995,270.44000388438985,272.54599276068086,273.2227388483307,273.6725025941838,20.546666666666663,11.113000000000001,12.76,16.04,59.66499999999998,1.542375286639832,0.3665338403333775,1.069660219715257,1.9800849931840117,2.8165543759865965,5.7284897982542535,3.584603609693511,4.3352060288110685,6.044522808354637,8.89524487260854,272.6727947741129,270.60573879911954,272.57634687635505,273.28308727718854,273.68482523141626,13.82175925925926,2.8083333333333336,4.135416666666667,8.95625,57.174999999999976,1.2774359334598906,0.06605138185686532,0.6784905568127013,1.7245502062343476,2.9038557711538004
3,20.15473371019402,15.138421129137821,17.229105924585852,21.635889768058277,29.866750610034437,272.8145712682514,270.6905354711654,272.7490575823037,273.4256538923204,273.82984821914573,18.901626016260167,6.626585365853659,8.473170731707317,13.330487804878048,66.56975609756094,1.4210903313154353,0.20135109807695017,0.8678810825500779,1.8642533000984411,2.931006691739208,26.423852752599743,20.319795036944154,21.766018215794077,29.530848770930273,44.031641405187436,272.51296342264214,270.355179060807,272.4472341440224,273.1163896837548,273.5702970535442,20.90888888888889,11.094,12.85,16.32,61.06999999999996,1.3526260344007526,0.18630749207290478,0.8767094357846272,1.7780243595839387,2.6608302641338595,4.951298375707958,2.9947249358999506,3.817035017994101,5.676288063161097,8.493927785464699,272.66956254121357,270.5897670665514,272.5751934261054,273.28519619004726,273.67845382241165,13.734259259259266,2.757083333333334,4.029166666666667,8.79375,57.336249999999986,1.54177052627057,0.2566044762398784,0.9361930074879637,2.0110515382968965,3.193168272994791
4,20.24850609764008,15.246549120325518,17.324561133257887,21.771647182226353,29.89194728954813,272.69185242967677,270.5731897294508,272.6190932268394,273.3051010833344,273.7094728220291,19.274706413730808,6.779024390243903,8.670731707317072,13.614634146341464,67.77170731707315,1.4027282541039925,0.18016019817916765,0.8452326694348966,1.846033862962157,2.9290516149503922,28.474828537642598,20.876676175428457,22.954151504885736,31.886353116706506,40.17807628812233,273.1444839367126,270.9444440092775,273.08756740017805,273.7594905142892,274.2146159230766,21.16172839506173,10.864444444444445,12.461111111111112,16.0,64.12333333333329,1.8798058121426469,0.56418381440335,1.3490032809879062,2.3609888987009953,3.3499438688791767,3.771023546296081,1.968710763009039,2.6576786480021077,4.359189657681651,7.2564590386196315,272.4951377316157,270.41201380373,272.3959211427545,273.115106660109,273.5033641836416,13.737037037037043,2.6975000000000002,3.939583333333333,8.691666666666666,57.98249999999998,1.374695238399134,0.10352502297300413,0.77053025646215,1.8345845811309502,3.031538760773677
5,17.97564226634523,13.440502602209557,15.353867187503017,19.30243947424523,26.79858612761619,272.59718471070204,270.48521675158554,272.51894195021015,273.20952367712493,273.6164218765301,19.546522131887986,6.837560975609757,8.771951219512196,13.792682926829269,68.84951219512193,1.4822876283162527,0.23907097540392588,0.9143995153357327,1.9290454400883665,3.0410806122319403,24.637004511606225,19.711629334392946,21.730787688519936,27.15832662371029,39.02603910771004,272.3808707554586,270.2134465418014,272.31655519062565,272.98741067603765,273.4405835024269,26.568686868686868,12.376363636363635,14.859090909090911,20.218181818181815,82.7263636363636,1.6578019540655935,0.4336439201150622,1.1023900461308775,2.106755244229872,3.1807199666099106,4.160549327256334,2.2275119537503154,3.194376174980091,4.875064379995272,7.66488132667998,272.2898529418409,270.23968505304316,272.17005839589814,272.90793183935216,273.30124293171593,13.64557165861514,2.7247826086956524,3.969565217391303,8.799999999999999,56.84608695652171,1.5147554166915378,0.21311642693909844,0.893445049670679,1.9809930083716893,3.2172028172375207
6,15.996840185374195,11.893168329323332,13.673607326403108,17.176416809196446,23.922281258451328,272.5921850823687,270.47259568963767,272.50644862027804,273.2109846086649,273.6126545790747,19.745076784101176,6.8429268292682925,8.82560975609756,13.90731707317073,69.71195121951216,1.5819589092390869,0.3081804338727591,1.0101966403405125,2.0417332952125737,3.143462427095113,21.995941183935155,16.875825675330983,19.358261436076912,23.372692367797143,31.7686922511777,272.26686003458224,270.14386292121435,272.1724024037153,272.8829523629802,273.31682445110965,21.548148148148147,9.253125,11.790624999999999,16.50625,66.83874999999998,1.359370711610935,0.22564282428809956,0.8627523504652269,1.7809012061079894,2.710785421679155,3.3798887209196793,1.7735869597929355,2.5171289725844312,3.923654915142452,7.664883139555324,272.6424581091424,270.576076018488,272.53314961118735,273.2584402047263,273.6471255946252,13.405555555555555,2.4759090909090915,3.709090909090909,8.495454545454542,57.390909090909055,1.7607073954863095,0.3741175808496288,1.104194618101708,2.253439501196566,3.5620127230345657
7,15.20227545474615,11.258334130369345,12.943083135883832,16.37554697275862,22.777121766692616,272.5605224508016,270.4368557563582,272.4698748796639,273.1846708278834,273.57498555022653,19.906684733514005,6.824390243902439,8.853658536585366,13.997560975609755,70.46365853658534,1.6071690926430138,0.33219348732329873,1.0506521556780453,2.0687493459868094,3.1399259431173943,23.65046432290697,17.951201982561297,19.98045503830496,24.516305561275953,34.36512527320677,273.3710495146287,271.1623428978498,273.33059125663686,274.0025047856781,274.3884443683557,21.516137566137566,9.609285714285715,12.15357142857143,16.982142857142854,64.62285714285711,1.8079682378801156,0.5146506072136555,1.3043207081187755,2.278787081873477,3.2074966314773468,3.1565661608820252,1.7494240766052631,2.3554988144719955,3.6825084726000332,5.155790233722855,271.7641121040638,269.69001639538476,271.62952388635256,272.38642012824624,272.78934657263557,16.589898989898995,3.560000000000001,5.147727272727273,10.54318181818182,68.18454545454541,1.5488780119026726,0.2565539455983748,0.9285535627464557,2.0120430997144187,3.260600218564706
8,16.017731857490737,12.000574530704762,13.741870470711838,17.209368568819876,23.514655297314707,272.5170475935817,270.39151484948775,272.4270279994485,273.1401448464097,273.52929970269696,20.190966576332432,6.909268292682928,8.995121951219513,14.20609756097561,71.31365853658534,1.6066104654740496,0.35085105869323413,1.0641938542153015,2.059556613785643,3.104326598737984,22.6195695032349,16.68035801380946,19.446331817401813,24.705323988821597,35.90868364362749,273.07955176869865,270.8901006511597,273.03302957296347,273.7075161958982,274.07955753428905,22.191358024691365,9.442499999999999,11.383333333333333,15.758333333333333,74.5583333333333,1.6438506132649178,0.4197830732888593,1.1816086642910928,2.0907336412240576,2.9164015797049636,3.0161876695373624,1.745737735587335,2.347111275485491,3.5277158691063613,5.481269516440691,271.9767264646218,269.89267184929446,271.85098739092496,272.5964837906966,273.0062958026034,15.976650563607086,3.2513043478260877,4.802173913043479,10.03695652173913,66.44260869565214,1.6610404985322524,0.3591831223831136,1.0474158244487237,2.1238145854097765,3.3643475553904265
9,15.876213730160242,11.922961790589937,13.657759650760454,17.051093970658176,23.28302338320205,272.56801893699014,270.4438750069707,272.47448230210335,273.19219038486426,273.582222437891,20.507317073170732,7.04390243902439,9.189024390243903,14.460975609756098,72.11878048780486,1.6643383097537061,0.40643992565577813,1.126945537266809,2.12224802829486,3.145974545996216,20.679908204953627,15.397472814521127,17.073155484116622,22.774579666183985,32.169848775140196,273.4403878156012,271.2577875413225,273.37694207710143,274.06589536344114,274.4701159109602,17.858119658119662,7.685384615384615,9.315384615384614,13.030769230769229,59.30384615384612,1.8564087346713618,0.5623351599178306,1.3495882212586319,2.3446758348165178,3.2612116686063075,3.1630225912608796,1.7028745279373805,2.3470853691794717,3.6991880365977794,6.063825122525739,271.6395588986393,269.57031574559676,271.5182178081627,272.2521737570542,272.6626925796691,17.30474074074074,4.0404,5.781999999999999,11.052,70.23839999999998,1.6666872843199325,0.40872083849285673,1.0834679798044342,2.1174061250997696,3.2829628088460305
10,15.989025660039447,12.009873978689154,13.755951950633031,17.15651575953332,23.47279246143783,272.5146940149883,270.3740492318638,272.4233910540593,273.1426174261965,273.5245879804314,20.80361336946703,7.154146341463415,9.36829268292683,14.724390243902441,72.85951219512192,1.6903719913203812,0.4322531007370279,1.1543605187381647,2.150427948361379,3.1627126923572155,24.678956342485776,17.698682928506717,20.165301421035274,27.08909317861408,36.66259483307309,273.6830880818378,271.3913125476585,273.629217824201,274.35484250759896,274.69470550580974,26.935185185185187,10.63,13.59375,20.01875,89.19124999999997,1.714715157937544,0.41958658245235664,1.260235105562517,2.1838870368993843,2.995018500289662,3.8449571896944006,2.7000241792724546,3.1502102927341,4.274262936148847,7.640882033455453,271.70883375735525,269.6478832970542,271.58571049337667,272.3199587436078,272.72145265491935,17.84307270233196,4.659259259259259,6.562962962962963,11.783333333333335,69.4659259259259,1.7073107184343452,0.46324819182141547,1.1312023052491247,2.160884318477658,3.2820726530144637
