index,sensitivity,specificity,precision,number,season
ADO_DSC_CH04_0011,0.574468085106383,0.9879101899827288,0.9204545454545454,141.0,0
ADO_DSC_CH04_0011,0.5340314136125655,0.9321100917431193,0.7338129496402878,191.0,1
ADO_DSC_CH04_0011,0.720125786163522,0.930622009569378,0.8875968992248062,318.0,2
ADO_DSC_CH04_0011,0.4146341463414634,0.995850622406639,0.9807692307692307,246.0,3
ADO_DSC_AT31_0254,0.3831417624521073,0.9264367816091954,0.7575757575757576,261.0,0
ADO_DSC_AT31_0254,0.62751677852349,0.8809523809523809,0.7890295358649789,298.0,1
ADO_DSC_AT31_0254,0.6633165829145728,0.9904942965779467,0.9635036496350365,199.0,2
ADO_DSC_AT31_0254,0.5730994152046783,0.9944547134935305,0.9702970297029703,171.0,3
ADO_DSC_AT12_0280,0.6637168141592921,0.9439834024896265,0.847457627118644,226.0,0
ADO_DSC_AT12_0280,0.7030716723549488,0.9148936170212766,0.8512396694214877,293.0,1
ADO_DSC_AT12_0280,0.8547486033519553,0.8492647058823529,0.6510638297872341,179.0,2
ADO_DSC_AT12_0280,0.7342657342657343,0.9773123909249564,0.8898305084745762,143.0,3
ADO_DSC_CH03_0075,0.6771653543307087,0.9898819561551433,0.9347826086956522,127.0,0
ADO_DSC_CH03_0075,0.3412698412698413,0.9737704918032787,0.7288135593220338,126.0,1
ADO_DSC_CH03_0075,0.8438661710037175,0.8779443254817987,0.7992957746478874,269.0,2
ADO_DSC_CH03_0075,0.6056910569105691,0.9232365145228216,0.8010752688172043,246.0,3
ADO_DSC_AT31_0206,0.48333333333333334,0.9612903225806452,0.8656716417910447,240.0,0
ADO_DSC_AT31_0206,0.6175438596491228,0.9124423963133641,0.822429906542056,285.0,1
ADO_DSC_AT31_0206,0.8342857142857143,0.9597806215722121,0.8690476190476191,175.0,2
ADO_DSC_AT31_0206,0.5379746835443038,0.9838998211091234,0.9042553191489362,158.0,3
ADO_DSC_FRK2_0042,0.9166666666666666,0.9184782608695652,0.7738693467336684,168.0,0
ADO_DSC_FRK2_0042,0.8630705394190872,0.9818181818181818,0.9585253456221198,241.0,1
ADO_DSC_FRK2_0042,0.7474747474747475,0.9384965831435079,0.891566265060241,297.0,2
ADO_DSC_FRK2_0042,0.764367816091954,0.9473684210526315,0.9300699300699301,348.0,3
ADO_DSC_ITC1_0020,0.34615384615384615,1.0,1.0,130.0,0
ADO_DSC_ITC1_0020,0.10555555555555556,0.9893617021276596,0.9047619047619048,180.0,1
ADO_DSC_ITC1_0020,0.2781954887218045,0.8978723404255319,0.6065573770491803,133.0,2
ADO_DSC_ITC1_0020,0.26256983240223464,0.9783783783783784,0.9215686274509803,179.0,3
ADO_DSC_ITC1_0037,0.6766917293233082,1.0,1.0,133.0,0
ADO_DSC_ITC1_0037,0.09090909090909091,0.9867924528301887,0.2222222222222222,22.0,1
ADO_DSC_ITC1_0037,0.42857142857142855,0.9739336492890995,0.8035714285714286,105.0,2
ADO_DSC_ITC1_0037,0.423728813559322,0.9209809264305178,0.7211538461538461,177.0,3
ADO_DSC_CH05_0201,0.5562130177514792,0.9558011049723757,0.7966101694915254,169.0,0
ADO_DSC_CH05_0201,0.6412556053811659,0.9216494845360824,0.7900552486187845,223.0,1
ADO_DSC_CH05_0201,0.5678391959798995,0.9527410207939508,0.8188405797101449,199.0,2
ADO_DSC_CH05_0201,0.6146788990825688,0.9819277108433735,0.9370629370629371,218.0,3
ADO_DSC_CH07_0006,0.378698224852071,0.9237749546279492,0.6037735849056604,169.0,0
ADO_DSC_CH07_0006,0.028037383177570093,0.9872813990461049,0.2727272727272727,107.0,1
ADO_DSC_CH07_0006,0.3891891891891892,0.9128856624319419,0.6,185.0,2
